,datetime,ask,bid
0,2023-07-19 15:14:10.326982,1.29561,1.29547
1,2023-07-19 15:14:10.460316,1.29561,1.29547
2,2023-07-19 15:14:10.528612,1.29561,1.29547
3,2023-07-19 15:14:10.615357,1.2956,1.29547
4,2023-07-19 15:14:10.700515,1.29561,1.29547
5,2023-07-19 15:14:10.790788,1.29561,1.29547
6,2023-07-19 15:14:10.884514,1.2956,1.29547
7,2023-07-19 15:14:10.965428,1.2956,1.29547
8,2023-07-19 15:14:11.044681,1.2956,1.29547
9,2023-07-19 15:14:11.107159,1.2956,1.29547
10,2023-07-19 15:14:11.187168,1.29558,1.29545
11,2023-07-19 15:14:11.279289,1.2956,1.29546
12,2023-07-19 15:14:11.356561,1.2956,1.29546
13,2023-07-19 15:14:11.440351,1.2956,1.29546
14,2023-07-19 15:14:11.499817,1.2956,1.29546
15,2023-07-19 15:14:11.561819,1.2956,1.29546
16,2023-07-19 15:14:11.639918,1.2956,1.29546
17,2023-07-19 15:14:11.701093,1.2956,1.29546
18,2023-07-19 15:14:11.806303,1.2956,1.29546
19,2023-07-19 15:14:11.905037,1.2956,1.29546
20,2023-07-19 15:14:12.003775,1.2956,1.29546
21,2023-07-19 15:14:12.226504,1.29557,1.29543
22,2023-07-19 15:14:12.345189,1.29557,1.29543
23,2023-07-19 15:14:12.434083,1.29557,1.29543
24,2023-07-19 15:14:12.496617,1.29557,1.29543
25,2023-07-19 15:14:12.584972,1.29557,1.29543
26,2023-07-19 15:14:12.687219,1.29557,1.29543
27,2023-07-19 15:14:12.763074,1.29556,1.29542
28,2023-07-19 15:14:12.863754,1.29555,1.29542
29,2023-07-19 15:14:12.936345,1.29555,1.29542
30,2023-07-19 15:14:13.009582,1.29555,1.29542
31,2023-07-19 15:14:13.075780,1.29555,1.29542
32,2023-07-19 15:14:13.138263,1.29555,1.29542
33,2023-07-19 15:14:13.213169,1.29555,1.29542
34,2023-07-19 15:14:13.277708,1.29555,1.29542
35,2023-07-19 15:14:13.340193,1.29555,1.29542
36,2023-07-19 15:14:13.414754,1.29555,1.29542
37,2023-07-19 15:14:13.466212,1.29555,1.29542
